trade_date,commid,open_price,high_price,low_price,close_price,clear_price,vol,hold
2015-4-20,CF1507,0,0,0,0,12810,0,1128
2015-4-20,CF1509,13030,13065,12990,13040,13030,79368,290474
2015-4-20,CF1511,0,0,0,0,13190,0,600
2015-4-20,CF1601,13200,13255,13200,13240,13230,7056,67602
2015-4-20,CF1603,13415,13415,13415,13415,13415,2,56
2015-4-21,CF1505,12695,12745,12675,12715,12710,2920,18970
2015-4-21,CF1507,0,0,0,0,12840,0,1128
2015-4-21,CF1509,13015,13120,13015,13095,13075,143962,307618
2015-4-21,CF1511,13185,13260,13170,13260,13220,46,596
2015-4-21,CF1601,13220,13310,13220,13280,13275,10944,72602
2015-4-21,CF1603,13405,13460,13405,13460,13425,6,58
2015-4-22,CF1505,12740,12925,12705,12910,12830,9048,18038
2015-4-22,CF1507,12925,13110,12925,13080,13015,172,1212
2015-4-22,CF1509,13080,13355,13075,13320,13235,416086,349386
2015-4-22,CF1511,13315,13380,13310,13380,13345,316,612
2015-4-22,CF1601,13265,13515,13265,13480,13420,32824,85352
2015-4-22,CF1603,13470,13675,13470,13675,13545,34,72
